domain,density_pct_of_retained_sample,approx_pct_of_full_rider_extract,driver_sample_size,n_seeds,coldstart_profit_per_driver,best_heuristic_profit_per_driver,warmup_profit_per_driver,oracle_profit_per_driver,best_heuristic_gain_vs_coldstart,warmup_gain_vs_coldstart,oracle_gain_vs_coldstart,warmup_gain_vs_best_heuristic,interpretation_note
green,10,2.5,1000,5,-7.66,-7.54,-7.27,-7.25,0.1200000000000001,0.39000000000000057,0.41000000000000014,0.27000000000000046,"Density varies the active fraction of the fixed 25% retained rider sample. It is a retained-sample sensitivity check, not a replacement for rerunning raw extraction with different pre-sampling probabilities."
green,25,6.25,1000,5,-6.52,-5.88,-5.61,-5.42,0.6399999999999997,0.9099999999999993,1.0999999999999996,0.2699999999999996,"Density varies the active fraction of the fixed 25% retained rider sample. It is a retained-sample sensitivity check, not a replacement for rerunning raw extraction with different pre-sampling probabilities."
green,100,25.0,1000,5,-2.2,-0.55,-0.41,-0.2,1.6500000000000001,1.7900000000000003,2.0,0.14000000000000007,"Density varies the active fraction of the fixed 25% retained rider sample. It is a retained-sample sensitivity check, not a replacement for rerunning raw extraction with different pre-sampling probabilities."
yellow,10,2.5,1000,5,-8.08,-7.3,-7.15,-7.02,0.7800000000000002,0.9299999999999997,1.0600000000000005,0.14999999999999947,"Density varies the active fraction of the fixed 25% retained rider sample. It is a retained-sample sensitivity check, not a replacement for rerunning raw extraction with different pre-sampling probabilities."
yellow,25,6.25,1000,5,-6.87,-5.63,-5.48,-5.3,1.2400000000000002,1.3899999999999997,1.5700000000000003,0.14999999999999947,"Density varies the active fraction of the fixed 25% retained rider sample. It is a retained-sample sensitivity check, not a replacement for rerunning raw extraction with different pre-sampling probabilities."
yellow,100,25.0,1000,5,-2.6,-0.4,-0.29,0.15,2.2,2.31,2.75,0.11000000000000004,"Density varies the active fraction of the fixed 25% retained rider sample. It is a retained-sample sensitivity check, not a replacement for rerunning raw extraction with different pre-sampling probabilities."
