mode,density_pct,sample_scope,coldstart_profit,path_buffer_profit,path_buffer_delta_vs_coldstart,paper_best_heuristic_policy,paper_best_heuristic_profit,path_buffer_vs_best_heuristic,driver_sample_size,n_seeds,comparison_note
single_driver,25,live_or_cached_routes,-4.946491340549543,-4.404706994171526,0.5417843463780176,heuristic_feasible_count,-3.53,-0.8747069941715258,1000,5,Path-buffer rerun uses the same public Yellow assets with live-or-cached OSRM routes; paper-best heuristic values come from the validated full paper summaries.
single_driver,10,live_or_cached_routes,-7.201491340549543,-6.919338676103249,0.2821526644462944,heuristic_feasible_count,-6.28,-0.6393386761032485,1000,5,Path-buffer rerun uses the same public Yellow assets with live-or-cached OSRM routes; paper-best heuristic values come from the validated full paper summaries.
dispatch,10,live_or_cached_routes,-8.248991340549543,-8.072215154038302,0.1767761865112405,heuristic_feasible_count,-7.3,-0.7722151540383022,1000,5,Path-buffer rerun uses the same public Yellow assets with live-or-cached OSRM routes; paper-best heuristic values come from the validated full paper summaries.
