source,domain,scenario_name,density_pct,policy,metric,mean,ci_low,ci_high,ci_width,interval_collapsed,n_seeds
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,oracle,mean_wait_min,2.54,2.54,2.54,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,oracle,mean_matched_riders_per_driver,0.29,0.29,0.29,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,oracle,mean_eval_time_s,0.0172,0.0172,0.0172,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,oracle,mean_batch_runtime_s,0.0366,0.0366,0.0366,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,profit_per_launched_driver,-7.15,-7.15,-7.15,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,served_riders,270.0,270.0,270.0,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,rider_service_rate,0.07,0.07,0.07,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,mean_wait_min,2.56,2.56,2.56,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,mean_matched_riders_per_driver,0.27,0.27,0.27,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,warmup,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,profit_per_launched_driver,-7.66,-7.66,-7.66,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,served_riders,20.0,20.0,20.0,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,rider_service_rate,0.006,0.006,0.006,0.0,True,5
